"NZ_16_ASCII","FIN_ID","SKRJ_ID","HAFAS_ID","EPA_ID"
"Jaúkowice Legn.","6160","053132","5101432",""
"Nowa Wieú Legn.","6299","053157","5102499",""
"Legnica Piekary","6232","053165","5101982",""
"Rynarcice","6396","053330","5103218","00616"
"Rydu≥towy","4298","068320","5103968",""
"Orzesze Zawada","4241","069039","5102607",""
"Miko≥Ûw","4217","069062","5102244","00240"
"Miedary","4214","071175","5103001",""
"D.G.Pogoria","4090","074542","5100927",""
"Hucisko","4117","076687","5101347",""
"GorzÛw Chrzan.","4111","077123","5101097",""
"Balin","3025","077537","5100363",""
"ChrzanÛw","0704","077800","5100728",""
"Wielkie Drogi","3324","078022","5104045",""
"Skawa","3271","078634","5103426","00677"
"S≥omniki","3278","079384","5103461",""
"Staniπtki","3283","079632","5103627",""
"KRAK”W BONARKA","3125","080002","5101528","00858"
"Garki","7124","046060","5101164",""
"JustynÛw","1183","046524","5101479",""
"£”Dè CHOJNY","0111","046565","5100038","00069"
"D≥ugokπty","1108","047084","5100943",""
"GorzÍdÛw","1135","047837","5101320","00503"
"GilÛw","2070","048298","5101146",""
"Dobieszyn","2062","048520","5101038","00349"
"Brody I≥øeckie","2035","049288","5100399",""
"Opoczno","2171","049700","5102592",""
"Sitowa","2214","049775","5103417",""
"Pu≥awy Chemia","2190","050013","5102943",""
"Klementowice","2107","050179","5101664",""
"Stasin Polny","2234","050542","5103596",""
"Mika","1276","039347","5102262",""
"WarszÛwka","1512","040329","5104190",""
"Stanowice","6421","054429","5103362",""
"G≥uszyca","6125","055186","5101191",""
"BoguszÛw-G.Zach.","6046","055269","5100511","00785"
"Dar≥owo","0029","005157","5100890",""
"Reda Pieleszewo","5520","006114","5103075",""
"GdaÒsk Brzeüno","5143","007732","5101077",""
"DzierzgoÒ","5125","007989","5101039",""
"GrzÍpa","5217","008110","",""
"Majewo","5366","008482","5102181",""
"Gutowiec","5221","008920","5101294",""
"SZLACHTA","0522","009027","5103739",""
"£Ígajny","5328","009357","5101996",""
"Spychowo","5582","010769","5103565","00804"
"Woszczele","1531","011841","5104108","00740"
"Dryga≥y","1116","012328","5100985",""
"Tuchlin","1465","012492","5103844",""
"KowalÛw","8182","013128","5101736","01014"
"Przyjezierze Mor","8297","013276","",""
"£upowo","8219","014019","5100299","00957"
"Dobino Wa≥eckie","8097","014779","5101007",""
"LesiÍcin","8197","003624","5101958",""
"£Íknica Kosz.","8214","003673","5101993","00482"
"Koúciernica","8181","003913","5101558",""
"RzozÛw","3263","080143","5103238","00904"
"Wola Rowska","1528","039271","5104074",""
"Zatom Stary","7558","026963","5104389",""
"Nietkowice","7306","027532","5102487",""
"Pomorsko","7378","027714","5102856",""
"Bucze","7058","028175","5100601",""
"Otoczna","7341","030080","5102634",""
"åwiπtniki","7500","030841","5103498",""
"GÍbarzewo","7129","030874","5101128",""
"K≥ecko Wielkopol","7194","031062","",""
"Skoki","0518","031252","5103437",""
"P≥ock Trzepowo","1347","032623","5102811",""
"Bednary","1034","032953","5100594",""
"PruszkÛw","0431","034108","5100330",""
"Wwa P≥udy","1491","036152","5104160",""
"Kaczorowo","1184","036798","5104431",""
"Czeruchy","5106","036947","5100813","00216"
"Porosiuki","1569","040923","5104424","00425"
"Nowe Czaple","7311","041822","5102460",""
"G£OG”W","0044","042200","5100012","00025"
"JÍdrzejÛw","2096","064451","5100115","00416"
"Konopne","2112","066167","5101742","00835"
"K≥yøÛw","2109","066555","5101669",""
"RZESZ”W STARON.","3260","082602","5103241","00619"
"Frysztak","3072","082859","5101049","00371"
"WojaszÛwka","3332","082875","5104033","00748"
"Krosno","0087","083501","5101770","00231"
"Nowosielce","3197","083659","5102479","00535"
"BobrÛwka","3038","084731","5100560",""
"Zagrody","3344","084749","5104306",""
"Oleszyce","3206","084772","5102574","00526"
"Koziki","1218","119040","5101738",""
"TARN”W","0220","080630","5100230","00126"
"TuchÛw","3309","080986","5103846","00963"
"Gromnik","3084","081059","5101256","01167"
"Czepino","8081","000836","5100801",""
"Gryfino","0507","000851","5100108","00227"
"TrzciÒsko ZdrÛj","8410","002741","",""
"Szczecinek Chy.","8375","002998","5103519",""
"Gwda Ma≥a","8138","003053","5101299",""
"Nielep","8247","003996","5102472",""
"Daszewo","8088","004036","5100891","00347"
"Siedlce £askie","5560","019554","5103326",""
"Bielawy","5036","019695","5100437",""
"Dobrzejewice","5115","019950","5101029",""
"Nawra","5408","020446","5102504",""
"Kretki","5305","021410","5101760",""
"Wiktorowo","5690","021741","5104016",""
"Gralewo","5203","022475","5101189",""
"Soko≥y","1425","023549","5103546",""
"Goworowo","1138","023663","5101306",""
"MoÒki","1287","024133","5102308","00241"
"Zajezierce","1542","024299","5104244",""
"Bia≥ystok Wiad.","1048","024620","5100632","01089"
"Bia≥owieøa","1043","025460","5100454",""
"Torzym","7510","025981","5103808",""
"Chroúnica","7077","026187","5100809",""
"Wierzchowo Cz≥.","5684","015875","5104231",""
"LIPOWA TUCH.","0510","016667","5102027",""
"WyszkÛw","0425","037762","5104211",""
"Wwa Goc≥awek","1478","038539","5103920",""
"Rudniki K/CzÍst.","4286","063354","5103109","00544"
"Kielce Herbskie","2103","063503","5100121",""
"Polichna Kraú.","2181","051557","5102748","00876"
"Zgorzelec Miasto","0266","051862","5100232","00196"
"Lubin","0279","053280","5100308","00064"
"RYBNIK","0175","068205","5100262","00104"
"Suszec Rudziczka","4330","069252","5103568",""
"£aziska ålπskie","4207","069633","5102039",""
"Rzeczyce ål.","4300","070151","5103243",""
"KnurÛw","4170","070904","5101710","01068"
"NAK£O åL•SKIE","4232","071043","5102453",""
"Krzepice","4185","071860","5101753","00686"
"BoronÛw","4045","072066","5100559","00368"
"S≥awkÛw","4308","074252","5103470",""
"£AZY","4209","075200","5101936","01027"
"Pewel Ma≥a","4250","076646","5102725",""
"Alwernia","3021","077685","5100333",""
"Jaúkowice","3095","078030","5101472",""
"PÛ≥wieú","3227","078063","5102965",""
"Woüniki","3338","078238","5104115",""
"Szczepanowice","3298","079434","5103366",""
"POD£ ØE","3222","079525","5102715","00408"
"Zubrzyk","3354","082560","5104392",""
"Szebnie","3300","082883","5103735","00674"
"Jankowce","3092","083857","5101445",""
"Ustianowa","3314","083873","5103893",""
"Ustrzyki Dolne","3315","083949","5103896",""
"KomaÒcza Let.","3120","084111","5101690","01041"
"BRANIEWO GR","8801","011361","",""
"MIEROSZ”W GR","8813","055418","",""
"SZCZ.GUM/GRAM GR","8816","000364","",""
"ZEBRZYDOWICE GR","8821","075689","",""
"Granica PaÒstwa","0825","067934","5100021",""
"Bobowa","3036","081091","5100508","00302"
"Police Zak≥ad","8286","000711","5102693",""
"Banie","8022","000968","",""
"Osetnica","6322","054056","5102616",""
"ROKITKI","6389","054205","5103142","01072"
"Lubawka","6241","055509","5101944",""
"Kwieciszowice","6226","055855","5101849",""
"Wierna Rzeka","2281","064774","5104082",""
"Øelis≥awice","2309","064824","5104294","00361"
"Gocza≥kÛw","6128","056366","5101098",""
"Skoroszyce","6409","056846","5103588",""
"Bierkowice","6035","057356","5100466",""
"åwiÍta Katarzyna","6466","058230","5103699",""
"Oborniki ålπskie","6305","058784","5100182","00550"
"MrozÛw","6282","058990","5102335",""
"Brzeg Dolny","0012","060269","5100004","00032"
"Komprachcice","6194","060723","5101681",""
"Opole Gos≥awice","6316","060863","5102589",""
"Rogalice","6386","061176","5103137",""
"Smardy","6411","061267","5103474",""
"Kad≥ub","6180","061788","5101562",""
